Council Term,Position,Official Name,Notes
2013-2016,Municipal Mayor,Manuel T. Dela Serna,Elected/served
2013-2016,Municipal Vice Mayor,Ronaldo B. Pader,Elected/served
2013-2016,SB Member,Henry Mariano,Elected/served
2013-2016,SB Member,Christopher M. Cuan,Elected/served
2013-2016,SB Member,Noel Gretare,Elected/served
2013-2016,SB Member,Alex Drilon,Elected/served
2013-2016,SB Member,Editha Neri,Elected/served
2013-2016,SB Member,Jaime Cadungog,Elected/served
2013-2016,SB Member,Gil Develleres,Elected/served
2013-2016,SB Member,Zosimo Dacoroon,Elected/served
2016-2019,Municipal Mayor,Christopher M. Cuan,Verified
2016-2019,Municipal Vice Mayor,Ronaldo B. Pader,Verified
2016-2019,SB Members,TBD,Eight SB winners require final archival verification
2019-2022,Municipal Mayor,Christopher Maningger Cuan,Elected in 2019; later succession occurred
2019-2022,Municipal Vice Mayor,Ronaldo Bertumen Pader,Elected in 2019; later succession occurred
2019-2022,SB Member,Francis Aris Diaz Yu,Elected in 2019; later served as mayor
2019-2022,SB Member,Jims Cabahug Fullecido,Elected in 2019; later served as vice mayor
2019-2022,SB Member,Sittie Eljorie Calumba Antao,Elected in 2019
2019-2022,SB Member,Edgardo Gorrero Coronel,Elected in 2019
2019-2022,SB Member,Nicobel Ondoy Neri Jr.,Elected in 2019
2019-2022,SB Member,Anecita Torreda Develleres,Elected in 2019
2019-2022,SB Member,Hermie Puno Mana-ay,Elected in 2019
2019-2022,SB Member,Jackie Gorit Ondoy,Elected in 2019
2022-2025,Municipal Mayor,Angel Rose Cuan,Elected/served
2022-2025,Municipal Vice Mayor,Jims C. Fullecido,Elected/served
2022-2025,SB Member,Patricia Rose Pader,Elected/served
2022-2025,SB Member,Jojie Cadava,Elected/served
2022-2025,SB Member,Nikki Mae Dela Serna,Elected/served
2022-2025,SB Member,Wally Antao,Elected/served
2022-2025,SB Member,Arr Jay Dima-ano,Elected/served
2022-2025,SB Member,Hermie Mana-ay,Elected/served
2022-2025,SB Member,Erwin Ihao,Elected/served
2022-2025,SB Member,Anecita Develleres,Elected/served
